Name,label
menthol,1
betaelemene,1
hydroxyethyloxytriethyloxyoctane,1
racetoin,1
ratenolol,1
rbicalutamide,1
rfluoxetine,1
rgossypol,1
rmethylmalonylcoa,1
rminalrestat,1
rpraziquantel,1
rrolipram,1
rwarfarin,1
rpcamps,1
sacetoin,1
sampa,1
saspartimide,1
sblebbistatin,1
scamphor,1
scarazolol,1
sdesmeampa,1
seconazole,1
sfamoxadone,1
sfluoxetine,1
shmgcoa,1
siclaprim,1
sindapamide,1
smandelonitrile,1
smethoprene,1
spropafenone,1
srolipram,1
swarfarin,1
swiskostatin,1
srfidarestat,1
southmethanocarbathymidine,1
gammatocopherol,1
A,0
AA,0
AAA,0
AARP,0
AAS,0
AAVE,0
AB,0
ABB,0
ABC,0
ABLS,0
ABM,0
ABS,0
AC,0
ACC,0
ACE,0
ACLANT,0
ACTH,0
AD,0
ADA,0
ADD,0
ADH,0
ADHD,0
ADP,0
ADPS,0
AEC,0
AFISR,0
AFL,0
AFP,0
AFRL,0
AFSPC,0
AHPCRC,0
AI,0
AIAI,0
AIDS,0
AK,0
AL,0
ALGOL,0
ALIR,0
ALS,0
ALT,0
AM,0
AMD,0
AMEX,0
AMP,0
AMusD,0
AN,0
ANG,0
ANO,0
ANOVA,0
ANS,0
APC,0
AR,0
ARDA,0
ARDS,0
ARNG,0
AS,0
ASALA,0
ASAP,0
ASAT,0
ASCII,0
ASEAN,0
ASL,0
ATF,0
ATM,0
ATP,0
AU,0
AUC,0
AWOL,0
AZ,0
AZT,0
Aachen,0
Aalborg,0
Aalst,0
Aalto,0
Aar,0
Aare,0
Aaron,0
Ab,0
Abadan,0
Abecedarian,0
Abel,0
Abelard,0
Abenaki,0
Aberdare,0
Aberdeen,0
Aberdonian,0
Abidjan,0
Abila,0
Abilene,0
Abkhasian,0
Abkhaz,0
Abkhazia,0
Abkhazian,0
Abnaki,0
Abo,0
Abor,0
Aboriginal,0
Aborigine,0
Abraham,0
Abrocoma,0
Abronia,0
Abruzzi,0
Abudefduf,0
Abuja,0
Abukir,0
Abutilon,0
Abyla,0
Abyssinia,0
Abyssinian,0
Ac,0
Acadia,0
Acadian,0
Acalypha,0
Acanthaceae,0
Acanthisitta,0
Acanthisittidae,0
Acanthocephala,0
Acanthocybium,0
Acanthopterygii,0
Acanthuridae,0
Acapulco,0
Acaridae,0
Acarina,0
Accho,0
Accipiter,0
Accipitridae,0
Accra,0
Acer,0
Aceraceae,0
Achaea,0
Achaean,0
Achaian,0
Acheron,0
Acheronian,0
Acherontia,0
Acherontic,0
Acheson,0
Acheta,0
Achomawi,0
Achromycin,0
Acinonyx,0
Acipenser,0
Acipenseridae,0
Acnidosporidia,0
Acocanthera,0
Acokanthera,0
Aconcagua,0
Aconitum,0
Acoraceae,0
Acre,0
Acrididae,0
Acrilan,0
Acroclinium,0
Acrocomia,0
Acropora,0
Acrostichum,0
Actaea,0
Actifed,0
Actinaria,0
Actinia,0
Actiniaria,0
Actinidia,0
Actinidiaceae,0
Actinomycetaceae,0
Actinomyxidia,0
Actinopoda,0
Actinozoa,0
Actium,0
Activase,0
Acular,0
Adad,0
Adalia,0
Adam,0
Adana,0
Adansonia,0
Adapa,0
Adapid,0
Adapin,0
Adar,0
Addressograph,0
Adelaide,0
Adelgidae,0
Adelie,0
Aden,0
Adenanthera,0
Adenauer,0
Adenium,0
Adenota,0
Adiantaceae,0
Adiantum,0
Adige,0
Aditi,0
Aditya,0
Adlumia,0
Adonic,0
Adrenalin,0
Adrian,0
Adrianople,0
Adriatic,0
Advent,0
Adventism,0
Adventist,0
Advil,0
Adzhar,0
Adzharia,0
Aegean,0
Aegina,0
Aegospotami,0
Aegypiidae,0
Aeneid,0
Aeolia,0
Aeolian,0
Aeolic,0
Aeonium,0
Aepyornidae,0
Aerobacter,0
Aertex,0
Aeschylean,0
Aesir,0
Aesop,0
Aether,0
Aethionema,0
Aethusa,0
Affirmed,0
Afghan,0
Afghani,0
Afghanistan,0
Afghanistani,0
Aflaxen,0
Aframomum,0
Afrasian,0
Africa,0
African,0
Africander,0
Afrikander,0
Afrikaner,0
Afro,0
Afroasiatic,0
Ag,0
Aga,0
Agamemnon,0
Agamidae,0
Agaricaceae,0
Agassiz,0
Agastache,0
Agavaceae,0
Agee,0
Agene,0
Agenise,0
Agenize,0
Ageratina,0
Agha,0
Aghan,0
Agincourt,0
Agkistrodon,0
Aglaia,0
Aglaomorpha,0
Aglaonema,0
Agnatha,0
Agni,0
Agonidae,0
Agra,0
Agricola,0
Agriculture,0
Agrigento,0
Agrippa,0
Agrippina,0
Agrobacterium,0
Agropyron,0
Agrostemma,0
Ahab,0
Ahriman,0
Ahuehuete,0
Ahura,0
Ahvenanmaa,0
Aigina,0
Aiken,0
Ailey,0
Ailuropoda,0
Ailuropodidae,0
Aire,0
Airedale,0
Aix,0
Aizoaceae,0
Ajaia,0
Ajax,0
Ajuga,0
Akaba,0
Akan,0
Aken,0
Akeridae,0
Akha,0
Akhbari,0
Akhenaten,0
Akhenaton,0
Akka,0
Akkadian,0
Akko,0
Akmola,0
Akron,0
Aku,0
Al,0
Alabama,0
Alabaman,0
Alabamian,0
Aladdin,0
Alamo,0
Alar,0
Alaric,0
Alaska,0
Alaskan,0
Alauda,0
Alaudidae,0
Albania,0
Albanian,0
Albany,0
Albee,0
Albert,0
Alberta,0
Alberti,0
Albigensian,0
Albigensianism,0
Albion,0
Alborg,0
Albuginaceae,0
Albugo,0
Albula,0
Albulidae,0
Albuquerque,0
Alca,0
Alcaic,0
Alcea,0
Alcedinidae,0
Alcedo,0
Alcidae,0
Alcott,0
Alcyonacea,0
Alcyonaria,0
Alcyone,0
Aldactone,0
Aldebaran,0
Aldomet,0
Aldrovanda,0
Alecto,0
Alectoria,0
Alectura,0
Alep,0
Aleppo,0
Aleut,0
Aleutian,0
Aleve,0
Alexander,0
Alexandria,0
Alexandrian,0
Alexandrine,0
Aleyrodidae,0
Alfred,0
Alger,0
Algeria,0
Algerian,0
Algerie,0
Algol,0
Algonkian,0
Algonkin,0
Algonquian,0
Algonquin,0
Algren,0
Alhacen,0
Alhambra,0
Alhazen,0
Ali,0
Alisma,0
Alismataceae,0
Alismatidae,0
Alkeran,0
Allah,0
Allegheny,0
Allen,0
Allentown,0
Allhallowtide,0
Alliaceae,0
Alliaria,0
Allied,0
Alligatoridae,0
Allionia,0
Allioniaceae,0
Allium,0
Almaty,0
Almighty,0
Almoravid,0
Alnico,0
Aloeaceae,0
Alonso,0
Alopex,0
Alopiidae,0
Alosa,0
Alouatta,0
Alpena,0
Alpine,0
Alpinia,0
Alpinism,0
Alsace,0
Alsatia,0
Alsatian,0
Alsobia,0
Alsophila,0
Alstonia,0
Alstroemeriaceae,0
Altace,0
Altaic,0
Altair,0
Alternanthera,0
Altoona,0
Alupent,0
Alyssum,0
Am,0
Amaethon,0
Amanita,0
Amaranthaceae,0
Amarillo,0
Amaryllidaceae,0
Amaterasu,0
Amati,0
Amauropelta,0
Amazon,0
Amazona,0
Amberboa,0
Ambrose,0
Ambrosiaceae,0
Ambrosian,0
Ambystoma,0
Ambystomatidae,0
Ameiuridae,0
Amelanchier,0
Amen,0
Amentiferae,0
America,0
American,0
Americana,0
Americanisation,0
Americanise,0
Americanism,0
Americanization,0
Americanize,0
Amerind,0
Amerindian,0
Amerindic,0
Amhara,0
Amharic,0
Amia,0
Amianthum,0
Amiidae,0
Amish,0
Amman,0
Ammodytidae,0
Amniota,0
Amoebida,0
Amoebina,0
Amon,0
Amontillado,0
Amor,0
Amoxil,0
Amoy,0
Amphicarpa,0
Amphicarpaea,0
Amphineura,0
Amphioxidae,0
Amphipoda,0
Amphiprion,0
Amphisbaena,0
Amphisbaenia,0
Amphisbaenidae,0
Amphiumidae,0
Amsinckia,0
Amsonia,0
Amsterdam,0
Amun,0
Amundsen,0
Amur,0
Amygdalaceae,0
Amytal,0
Ana,0
Anabantidae,0
Anabaptism,0
Anabaptist,0
Anacanthini,0
Anacardiaceae,0
Anacardium,0
Anadenanthera,0
Anagasta,0
Anaheim,0
Anaprox,0
Anapsida,0
Anapurna,0
Anarhichadidae,0
Anasa,0
Anasazi,0
Anaspida,0
Anastatica,0
Anatidae,0
Anatolia,0
Anatolian,0
Anaximander,0
Anchorage,0
Ancistrodon,0
Ancohuma,0
Ancylidae,0
Ancylostomatidae,0
Andalucia,0
Andalusia,0
Andalusian,0
Andean,0
Andersen,0
Anderson,0
Andira,0
Andorra,0
Andorran,0
